response_stime,correct
23.395451068878174,1
3.5389299392700195,1
3.687052011489868,1
2.9874379634857178,1
2.0757761001586914,1
2.74666690826416,1
3.7796201705932617,1
3.3918349742889404,1
3.2282960414886475,1
2.402729034423828,1
2.1578972339630127,1
2.1404569149017334,1
1.8654048442840576,1
2.5904319286346436,1
2.0666720867156982,1
2.903635263442993,1
1.8547821044921875,1
2.3691329956054688,1
2.557957887649536,1
1.3781609535217285,1
2.0348198413848877,1
2.228250026702881,1
2.0841331481933594,1
3.316534996032715,1
0.9240908622741699,0
0.8582091331481934,0
0.8442180156707764,0
3.5528199672698975,1
