response_stime,correct
5.230409860610962,1
3.642896890640259,1
5.276840925216675,1
2.3930249214172363,1
2.2067909240722656,1
1.7097468376159668,1
1.6585452556610107,1
1.9957027435302734,1
1.5622179508209229,1
2.0121359825134277,1
2.410982847213745,1
2.1888229846954346,1
1.6124088764190674,1
1.7713427543640137,1
2.7024147510528564,0
4.043398857116699,1
1.8839969635009766,0
2.7974610328674316,1
2.942762851715088,1
3.5635292530059814,1
7.753988981246948,1
2.076514959335327,1
2.4096240997314453,1
9.14513897895813,1
3.386728048324585,1
2.460495948791504,1
3.9624710083007812,1
1.5156700611114502,1
2.0145061016082764,1
3.900451898574829,1
2.155022144317627,1
6.474756956100464,1
3.9015371799468994,1
1.6594712734222412,1
